source,level,rank,russian,translations,detail_path,page_url
openrussian,A1,1,и,and; also,/ru/%D0%B8,https://en.openrussian.org/vocab/A1
openrussian,A1,2,не,not,/ru/%D0%BD%D0%B5,https://en.openrussian.org/vocab/A1
openrussian,A1,3,что,what; that,/ru/%D1%87%D1%82%D0%BE,https://en.openrussian.org/vocab/A1
openrussian,A1,4,с,with; from; since; off; against; about (indicating approximate time or number),/ru/%D1%81,https://en.openrussian.org/vocab/A1
openrussian,A1,5,э́то,this is,/ru/%D1%8D'%D1%82%D0%BE,https://en.openrussian.org/vocab/A1
openrussian,A1,6,у,"(possession); by; with; from (take, borrow)",/ru/%D1%83,https://en.openrussian.org/vocab/A1
openrussian,A1,7,из,from (the inside of); out of,/ru/%D0%B8%D0%B7,https://en.openrussian.org/vocab/A1
openrussian,A1,8,мочь,to be able to; may,/ru/%D0%BC%D0%BE%D1%87%D1%8C,https://en.openrussian.org/vocab/A1
openrussian,A1,9,челове́к,person; human; people (collective); guy (colloquial),/ru/%D1%87%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5'%D0%BA,https://en.openrussian.org/vocab/A1
openrussian,A1,10,ещё,still; yet,/ru/%D0%B5%D1%89%D1%91,https://en.openrussian.org/vocab/A1
openrussian,A1,11,то́лько,only; just,/ru/%D1%82%D0%BE'%D0%BB%D1%8C%D0%BA%D0%BE,https://en.openrussian.org/vocab/A1
openrussian,A1,12,кто,who?; who,/ru/%D0%BA%D1%82%D0%BE,https://en.openrussian.org/vocab/A1
openrussian,A1,13,да,yes; but; and,/ru/%D0%B4%D0%B0,https://en.openrussian.org/vocab/A1
openrussian,A1,14,говори́ть,to speak; to suggest,/ru/%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D0%B8'%D1%82%D1%8C,https://en.openrussian.org/vocab/A1
openrussian,A1,15,и́ли,or,/ru/%D0%B8'%D0%BB%D0%B8,https://en.openrussian.org/vocab/A1
openrussian,A1,16,нет,no; not; not any,/ru/%D0%BD%D0%B5%D1%82,https://en.openrussian.org/vocab/A1
openrussian,A1,17,большо́й,big,/ru/%D0%B1%D0%BE%D0%BB%D1%8C%D1%88%D0%BE'%D0%B9,https://en.openrussian.org/vocab/A1
openrussian,A1,18,друго́й,other,/ru/%D0%B4%D1%80%D1%83%D0%B3%D0%BE'%D0%B9,https://en.openrussian.org/vocab/A1
openrussian,A1,19,где,where,/ru/%D0%B3%D0%B4%D0%B5,https://en.openrussian.org/vocab/A1
openrussian,A1,20,есть,there is,/ru/%D0%B5%D1%81%D1%82%D1%8C,https://en.openrussian.org/vocab/A1
openrussian,A1,21,там,there,/ru/%D1%82%D0%B0%D0%BC,https://en.openrussian.org/vocab/A1
openrussian,A1,22,пото́м,afterwards,/ru/%D0%BF%D0%BE%D1%82%D0%BE'%D0%BC,https://en.openrussian.org/vocab/A1
openrussian,A1,23,о́чень,very,/ru/%D0%BE'%D1%87%D0%B5%D0%BD%D1%8C,https://en.openrussian.org/vocab/A1
openrussian,A1,24,хоте́ть,to want; to feel like; to mean,/ru/%D1%85%D0%BE%D1%82%D0%B5'%D1%82%D1%8C,https://en.openrussian.org/vocab/A1
openrussian,A1,25,без,without; to (time),/ru/%D0%B1%D0%B5%D0%B7,https://en.openrussian.org/vocab/A1
openrussian,A1,26,дом,house,/ru/%D0%B4%D0%BE%D0%BC,https://en.openrussian.org/vocab/A1
openrussian,A1,27,то́же,also,/ru/%D1%82%D0%BE'%D0%B6%D0%B5,https://en.openrussian.org/vocab/A1
openrussian,A1,28,мо́жно,one can (it is possible); one may (it is allowed),/ru/%D0%BC%D0%BE'%D0%B6%D0%BD%D0%BE,https://en.openrussian.org/vocab/A1
openrussian,A1,29,здесь,here,/ru/%D0%B7%D0%B4%D0%B5%D1%81%D1%8C,https://en.openrussian.org/vocab/A1
