source,level,rank,russian,translations,detail_path,page_url
openrussian,B1,1,тот,that,/ru/%D1%82%D0%BE%D1%82,https://en.openrussian.org/vocab/B1
openrussian,B1,2,быть,to be; (present tense) 'есть'  - there is; has been,/ru/%D0%B1%D1%8B%D1%82%D1%8C,https://en.openrussian.org/vocab/B1
openrussian,B1,3,весь,all; whole; all gone (no more left),/ru/%D0%B2%D0%B5%D1%81%D1%8C,https://en.openrussian.org/vocab/B1
openrussian,B1,4,по,"along; about; by the means of; hit or punch somewhere; after a certain age; to (indicating to the end or limit of an object); on the subject of; on (weekdays, specific part of a day)",/ru/%D0%BF%D0%BE,https://en.openrussian.org/vocab/B1
openrussian,B1,5,за,behind; at (location); at (direction); for (in support of); for (mistake for); for (reason); following after; over (a certain age); beyond; out of (location); for (duration),/ru/%D0%B7%D0%B0,https://en.openrussian.org/vocab/B1
openrussian,B1,6,же,same,/ru/%D0%B6%D0%B5,https://en.openrussian.org/vocab/B1
openrussian,B1,7,э́тот,this,/ru/%D1%8D'%D1%82%D0%BE%D1%82,https://en.openrussian.org/vocab/B1
openrussian,B1,8,бы,would (be able to),/ru/%D0%B1%D1%8B,https://en.openrussian.org/vocab/B1
openrussian,B1,9,себя́,oneself,/ru/%D1%81%D0%B5%D0%B1%D1%8F',https://en.openrussian.org/vocab/B1
openrussian,B1,10,мой,my,/ru/%D0%BC%D0%BE%D0%B9,https://en.openrussian.org/vocab/B1
openrussian,B1,11,са́мый,the most; the very (same),/ru/%D1%81%D0%B0'%D0%BC%D1%8B%D0%B9,https://en.openrussian.org/vocab/B1
openrussian,B1,12,ни,neither; no,/ru/%D0%BD%D0%B8,https://en.openrussian.org/vocab/B1
openrussian,B1,13,стать,to become; to begin to; to stand; to become; to take to,/ru/%D1%81%D1%82%D0%B0%D1%82%D1%8C,https://en.openrussian.org/vocab/B1
openrussian,B1,14,свой,one's own (reflexive),/ru/%D1%81%D0%B2%D0%BE%D0%B9,https://en.openrussian.org/vocab/B1
openrussian,B1,15,де́ло,business; matter; thing; art; truth,/ru/%D0%B4%D0%B5'%D0%BB%D0%BE,https://en.openrussian.org/vocab/B1
openrussian,B1,16,под,"under; below; underneath; to go down/below; to go/put under something; (impression, affection); over",/ru/%D0%BF%D0%BE%D0%B4,https://en.openrussian.org/vocab/B1
openrussian,B1,17,ну,well,/ru/%D0%BD%D1%83,https://en.openrussian.org/vocab/B1
openrussian,B1,18,сам,ourselves,/ru/%D1%81%D0%B0%D0%BC,https://en.openrussian.org/vocab/B1
openrussian,B1,19,чём,Prepositional of 'что',/ru/%D1%87%D1%91%D0%BC,https://en.openrussian.org/vocab/B1
openrussian,B1,20,жизнь,life,/ru/%D0%B6%D0%B8%D0%B7%D0%BD%D1%8C,https://en.openrussian.org/vocab/B1
openrussian,B1,21,тут,here; now,/ru/%D1%82%D1%83%D1%82,https://en.openrussian.org/vocab/B1
