source,level,rank,russian,translations,detail_path,page_url
openrussian,C1,1,удиви́тельный,amazing; surprising,/ru/%D1%83%D0%B4%D0%B8%D0%B2%D0%B8'%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9,https://en.openrussian.org/vocab/C1
openrussian,C1,2,волнова́ться,be nervous,/ru/%D0%B2%D0%BE%D0%BB%D0%BD%D0%BE%D0%B2%D0%B0'%D1%82%D1%8C%D1%81%D1%8F,https://en.openrussian.org/vocab/C1
openrussian,C1,3,забо́р,fence,/ru/%D0%B7%D0%B0%D0%B1%D0%BE'%D1%80,https://en.openrussian.org/vocab/C1
openrussian,C1,4,строй,formation/order/system,/ru/%D1%81%D1%82%D1%80%D0%BE%D0%B9,https://en.openrussian.org/vocab/C1
openrussian,C1,5,мо́рда,"muzzle; (colloquial, derogatory) face of a person/mug",/ru/%D0%BC%D0%BE'%D1%80%D0%B4%D0%B0,https://en.openrussian.org/vocab/C1
openrussian,C1,6,прожи́ть,to reside; to live (formal),/ru/%D0%BF%D1%80%D0%BE%D0%B6%D0%B8'%D1%82%D1%8C,https://en.openrussian.org/vocab/C1
openrussian,C1,7,ре́дко,rarely,/ru/%D1%80%D0%B5'%D0%B4%D0%BA%D0%BE,https://en.openrussian.org/vocab/C1
openrussian,C1,8,измени́ть,change; cheat (on someone),/ru/%D0%B8%D0%B7%D0%BC%D0%B5%D0%BD%D0%B8'%D1%82%D1%8C,https://en.openrussian.org/vocab/C1
openrussian,C1,9,кра́ска,paint,/ru/%D0%BA%D1%80%D0%B0'%D1%81%D0%BA%D0%B0,https://en.openrussian.org/vocab/C1
openrussian,C1,10,темно́,dark,/ru/%D1%82%D0%B5%D0%BC%D0%BD%D0%BE',https://en.openrussian.org/vocab/C1
openrussian,C1,11,спо́рить,to argue with someone; to spar; to discuss; to bet,/ru/%D1%81%D0%BF%D0%BE'%D1%80%D0%B8%D1%82%D1%8C,https://en.openrussian.org/vocab/C1
openrussian,C1,12,кружо́к,circle; hobby group,/ru/%D0%BA%D1%80%D1%83%D0%B6%D0%BE'%D0%BA,https://en.openrussian.org/vocab/C1
openrussian,C1,13,состоя́ться,to take place or to be held; to establish oneself,/ru/%D1%81%D0%BE%D1%81%D1%82%D0%BE%D1%8F'%D1%82%D1%8C%D1%81%D1%8F,https://en.openrussian.org/vocab/C1
openrussian,C1,14,моги́ла,grave,/ru/%D0%BC%D0%BE%D0%B3%D0%B8'%D0%BB%D0%B0,https://en.openrussian.org/vocab/C1
openrussian,C1,15,приводи́ть,bring,/ru/%D0%BF%D1%80%D0%B8%D0%B2%D0%BE%D0%B4%D0%B8'%D1%82%D1%8C,https://en.openrussian.org/vocab/C1
openrussian,C1,16,о́блако,cloud,/ru/%D0%BE'%D0%B1%D0%BB%D0%B0%D0%BA%D0%BE,https://en.openrussian.org/vocab/C1
openrussian,C1,17,шкаф,closet,/ru/%D1%88%D0%BA%D0%B0%D1%84,https://en.openrussian.org/vocab/C1
openrussian,C1,18,вари́ть,to cook / to boil; brew; to weld,/ru/%D0%B2%D0%B0%D1%80%D0%B8'%D1%82%D1%8C,https://en.openrussian.org/vocab/C1
openrussian,C1,19,милиционе́р,policeman,/ru/%D0%BC%D0%B8%D0%BB%D0%B8%D1%86%D0%B8%D0%BE%D0%BD%D0%B5'%D1%80,https://en.openrussian.org/vocab/C1
openrussian,C1,20,су́мма,sum,/ru/%D1%81%D1%83'%D0%BC%D0%BC%D0%B0,https://en.openrussian.org/vocab/C1
