level,word,extra,translation
B2,эколо́гия,только ед.ч.,ecology
B2,эконо́мика,только ед.ч.,economics
B2,экономи́ст,,economist
B2,эконо́мить,"(эконо́млю, эконо́мишь) нсв — сэконо́мить (сэконо́млю, сэконо́мишь) св",to economize
B2,экономи́ческий,"(-ая, -ое, -ие)",economic
B2,экску́рсия,,excursion
B2,экскурсово́д,,guide
B2,экспеди́ция,,expedition
B2,экспериме́нт,,experiment
B2,э́кспорт,только ед.ч.,export
B2,электри́чество,только ед.ч.,electricity
B2,электро́ника,,electronics
B2,электроста́нция,,electric power plant
B2,энерги́чный,"(-ая, -ое, -ые); энерги́чно",energetic; energetically
B2,эне́ргия,только ед.ч.,energy
B2,энциклопе́дия,,encyclopedia
B2,эпо́ха,,authority
B2,аге́нт,,agent
B2,аге́нтство,,agency
B2,агресси́вный,"(-ая, -ое, -ые); агресси́вно",aggressive; aggressively
B2,адапти́роваться,"(адапти́руюсь, адапти́руешься) нсв I и св I",to adapt
B2,адвока́т,,lawyer
B2,адеква́тный,"(-ая, -ое, -ые); адеква́тно",adequate; adequately
B2,администрати́вный,"(-ая, -ое, -ые)",administrative
B2,администра́тор,,administrator
B2,администра́ция,,administration
B2,а́дрес,"почто́вый а́дрес, электро́нный а́дрес","address — postal address, e-mail"
B2,аза́ртный,"(-ая, -ое, -ые); аза́ртно","hazardous, excited; recklessly, excitedly"
B2,азиа́тский,"(-ая, -ое, -ие)",Asiatic
B2,акаде́мик,,academician
B2,акаде́мия,,academy
B2,акваре́ль,ж.р.,aquarelle
B2,аккура́тный,"(-ая, -ое, -ые); аккура́тно",accurate; accurately
B2,акт,1) террористи́ческий акт 2) траге́дия в 3 а́ктах 3) законода́тельный акт,act 1) act of terror 2) tragedy in 3 acts 3) legislative act
B2,актёр,,actor
B2,акти́вный,"(-ая, -ое, -ые)",active
B2,актри́са,,actress
B2,актуа́льный,"(-ая, -ое, -ые); актуа́льно","current, topical; topically"
B2,акце́нт,,accent
B2,акционе́рный,"(-ая, -ое, -ые)","corporate, joint-stock"
B2,а́кция,1) а́кции предприя́тия 2) а́кция проте́ста,"share, action 1) shares of a company 2) protest action"
B2,а́лгебра,,algebra
B2,алкого́ль,(только ед.ч.),alcohol
B2,аллерги́я,(только ед.ч.),allergy
B2,алле́я,,alley
B2,Алло́!,,Hello!
B2,алфави́т,,alphabet
B2,альбо́м,,album
B2,альпини́ст,,alpinist
B2,америка́нец,сущ. мн.ч. америка́нцы; ж.р. америка́нка; р.п. мн.ч. америка́нок,American
B2,америка́нский,"прил. (-ая, -ое, -ие)",American
B2,ана́лиз,,analysis
B2,анализи́ровать,"(анализи́рую, анализи́руешь) нсв I — проанализи́ровать (проанализи́рую, проанализи́руешь) св I",to analyse
B2,анана́с,,pineapple
B2,анато́мия,только ед.ч.,anatomy
B2,анги́на,,angina
B2,англи́йский,"прил. (-ая, -ое, -ие)",English
B2,англича́нин,сущ.; ж.р. англича́нка; мн.ч. англича́не,English (he); English (she)
B2,а́нгло-русский,"(ая, -ое, -ие) (испа́нско-ру́сский, кита́йско-ру́сский, неме́цко-ру́сский, францу́зско-ру́сский) (слова́рь)","English-Russian (Spanish-Russian, Chinese-Russian, German-Russian, French-Russian) (dictionary)"
B2,анекдо́т,,"funny story, anecdote"
B2,анке́та,,questionnaire
B2,анса́мбль,,ensemble
B2,анти-,"(антивое́нный, антисанита́рный и т. д.)",antiantibiotic
B2,антибио́тик,,anti-Semitism
B2,антисемити́зм,только ед.ч.,antique
B2,анти́чный,"(-ая, -ое, -ые)",intermission
B2,антра́кт,,orange
B2,апельси́н,,to applaud
B2,аплоди́ровать,"(аплоди́рую, аплоди́руешь) нсв I",applause
B2,аплодисме́нты,только мн.ч.,"funny story, anecdote"
B2,аппети́т,Прия́тного аппети́та!,appetite; Bon appétit! Enjoy your meal!
B2,апре́ль,,April
B2,апте́ка,,chemist’s
B2,арбу́з,,watermelon
B2,аргуме́нт,,"argument, reason"
B2,аргументи́ровать,"аргументи́рую, аргументи́руешь нсв I и св I","to argue, to give reasons"
B2,аре́нда,только ед.ч.,"rent, lease"
B2,арендова́ть,"аренду́ю, аренду́ешь нсв I и св I","to rent, to lease"
B2,аре́ст,,arrest
B2,аресто́вывать,"нсв I — арестова́ть (аресту́ю, аресту́ешь) св I",to arrest
B2,а́рмия,,army
B2,арома́т,,aroma
B2,арома́тный,"(-ая, -ое, -ые)",aromatic
B2,арти́ст,ж.р. арти́стка; р.п. мн.ч. арти́сток,"actor (he), actress (she)"
B2,архео́лог,,archaeologist
B2,археоло́гия,только ед.ч.,archaeology
B2,архите́ктор,,architect
